Observação;Data;Mês;Ano - Safra;Preços - Milho;Preços - Soja;
1;02/01/2014;1;2014; R$ 26,64 ; R$ 72,18 ;
2;03/01/2014;1;2014; R$ 27,00 ; R$ 71,42 ;
3;06/01/2014;1;2014; R$ 27,29 ; R$ 71,38 ;
4;07/01/2014;1;2014; R$ 27,49 ; R$ 70,31 ;
5;08/01/2014;1;2014; R$ 27,16 ; R$ 70,14 ;
6;09/01/2014;1;2014; R$ 27,17 ; R$ 68,97 ;
7;10/01/2014;1;2014; R$ 27,17 ; R$ 68,64 ;
8;13/01/2014;1;2014; R$ 27,32 ; R$ 67,59 ;
9;14/01/2014;1;2014; R$ 27,35 ; R$ 67,78 ;
10;15/01/2014;1;2014; R$ 27,30 ; R$ 67,60 ;
11;16/01/2014;1;2014; R$ 27,07 ; R$ 67,77 ;
12;17/01/2014;1;2014; R$ 27,02 ; R$ 67,46 ;
13;20/01/2014;1;2014; R$ 26,81 ; R$ 67,58 ;
14;21/01/2014;1;2014; R$ 26,65 ; R$ 66,55 ;
15;22/01/2014;1;2014; R$ 26,59 ; R$ 65,07 ;
16;23/01/2014;1;2014; R$ 26,47 ; R$ 65,04 ;
17;24/01/2014;1;2014; R$ 26,04 ; R$ 65,02 ;
18;27/01/2014;1;2014; R$ 26,16 ; R$ 65,10 ;
19;28/01/2014;1;2014; R$ 26,24 ; R$ 64,81 ;
20;29/01/2014;1;2014; R$ 26,22 ; R$ 64,31 ;
21;30/01/2014;1;2014; R$ 26,46 ; R$ 64,50 ;
22;31/01/2014;1;2014; R$ 26,65 ; R$ 64,15 ;
23;03/02/2014;2;2014; R$ 26,91 ; R$ 63,93 ;
24;04/02/2014;2;2014; R$ 27,41 ; R$ 64,08 ;
25;05/02/2014;2;2014; R$ 28,06 ; R$ 64,33 ;
26;06/02/2014;2;2014; R$ 28,52 ; R$ 64,35 ;
27;07/02/2014;2;2014; R$ 28,31 ; R$ 64,51 ;
28;10/02/2014;2;2014; R$ 28,37 ; R$ 64,99 ;
29;11/02/2014;2;2014; R$ 28,93 ; R$ 65,52 ;
30;12/02/2014;2;2014; R$ 29,51 ; R$ 65,71 ;
31;13/02/2014;2;2014; R$ 29,70 ; R$ 66,49 ;
32;14/02/2014;2;2014; R$ 30,11 ; R$ 67,76 ;
33;17/02/2014;2;2014; R$ 30,13 ; R$ 67,47 ;
34;18/02/2014;2;2014; R$ 30,96 ; R$ 68,16 ;
35;19/02/2014;2;2014; R$ 31,76 ; R$ 68,39 ;
36;20/02/2014;2;2014; R$ 32,51 ; R$ 68,45 ;
37;21/02/2014;2;2014; R$ 33,13 ; R$ 68,34 ;
38;24/02/2014;2;2014; R$ 33,15 ; R$ 68,53 ;
39;25/02/2014;2;2014; R$ 33,62 ; R$ 68,41 ;
40;26/02/2014;2;2014; R$ 33,74 ; R$ 69,11 ;
41;27/02/2014;2;2014; R$ 33,68 ; R$ 69,73 ;
42;28/02/2014;2;2014; R$ 33,95 ; R$ 69,19 ;
43;05/03/2014;3;2014; R$ 33,85 ; R$ 69,77 ;
44;06/03/2014;3;2014; R$ 33,82 ; R$ 69,49 ;
45;07/03/2014;3;2014; R$ 34,03 ; R$ 70,87 ;
46;10/03/2014;3;2014; R$ 34,16 ; R$ 70,65 ;
47;11/03/2014;3;2014; R$ 34,11 ; R$ 69,89 ;
48;12/03/2014;3;2014; R$ 33,85 ; R$ 68,92 ;
49;13/03/2014;3;2014; R$ 33,64 ; R$ 68,95 ;
50;14/03/2014;3;2014; R$ 33,51 ; R$ 68,74 ;
51;17/03/2014;3;2014; R$ 33,37 ; R$ 68,50 ;
52;18/03/2014;3;2014; R$ 32,97 ; R$ 69,05 ;
53;19/03/2014;3;2014; R$ 32,78 ; R$ 69,18 ;
54;20/03/2014;3;2014; R$ 32,20 ; R$ 69,91 ;
55;21/03/2014;3;2014; R$ 31,90 ; R$ 68,64 ;
56;24/03/2014;3;2014; R$ 31,97 ; R$ 68,14 ;
57;25/03/2014;3;2014; R$ 31,88 ; R$ 67,52 ;
58;26/03/2014;3;2014; R$ 31,55 ; R$ 67,58 ;
59;27/03/2014;3;2014; R$ 31,67 ; R$ 67,18 ;
60;28/03/2014;3;2014; R$ 31,44 ; R$ 66,57 ;
61;31/03/2014;3;2014; R$ 31,34 ; R$ 67,24 ;
62;01/04/2014;4;2014; R$ 31,32 ; R$ 68,34 ;
63;02/04/2014;4;2014; R$ 31,26 ; R$ 68,36 ;
64;03/04/2014;4;2014; R$ 31,29 ; R$ 68,66 ;
65;04/04/2014;4;2014; R$ 31,33 ; R$ 67,81 ;
66;07/04/2014;4;2014; R$ 31,24 ; R$ 67,52 ;
67;08/04/2014;4;2014; R$ 31,28 ; R$ 66,46 ;
68;09/04/2014;4;2014; R$ 31,44 ; R$ 67,34 ;
69;10/04/2014;4;2014; R$ 31,28 ; R$ 66,80 ;
70;11/04/2014;4;2014; R$ 31,32 ; R$ 66,39 ;
71;14/04/2014;4;2014; R$ 31,26 ; R$ 66,32 ;
72;15/04/2014;4;2014; R$ 31,53 ; R$ 68,16 ;
73;16/04/2014;4;2014; R$ 31,32 ; R$ 69,27 ;
74;17/04/2014;4;2014; R$ 31,18 ; R$ 68,84 ;
75;22/04/2014;4;2014; R$ 31,56 ; R$ 68,15 ;
76;23/04/2014;4;2014; R$ 31,33 ; R$ 67,47 ;
77;24/04/2014;4;2014; R$ 31,01 ; R$ 66,83 ;
78;25/04/2014;4;2014; R$ 30,95 ; R$ 67,81 ;
79;28/04/2014;4;2014; R$ 30,73 ; R$ 68,90 ;
80;29/04/2014;4;2014; R$ 30,48 ; R$ 69,29 ;
81;30/04/2014;4;2014; R$ 30,49 ; R$ 69,11 ;
82;02/05/2014;5;2014; R$ 30,40 ; R$ 67,07 ;
83;05/05/2014;5;2014; R$ 30,39 ; R$ 66,92 ;
84;06/05/2014;5;2014; R$ 30,34 ; R$ 66,39 ;
85;07/05/2014;5;2014; R$ 29,62 ; R$ 66,56 ;
86;08/05/2014;5;2014; R$ 29,54 ; R$ 67,29 ;
87;09/05/2014;5;2014; R$ 29,41 ; R$ 67,53 ;
88;12/05/2014;5;2014; R$ 29,48 ; R$ 67,42 ;
89;13/05/2014;5;2014; R$ 28,85 ; R$ 67,30 ;
90;14/05/2014;5;2014; R$ 28,96 ; R$ 67,43 ;
91;15/05/2014;5;2014; R$ 28,75 ; R$ 67,62 ;
92;16/05/2014;5;2014; R$ 28,35 ; R$ 67,28 ;
93;19/05/2014;5;2014; R$ 28,43 ; R$ 67,41 ;
94;20/05/2014;5;2014; R$ 28,02 ; R$ 68,38 ;
95;21/05/2014;5;2014; R$ 28,01 ; R$ 68,27 ;
96;22/05/2014;5;2014; R$ 27,95 ; R$ 69,20 ;
97;23/05/2014;5;2014; R$ 28,00 ; R$ 68,80 ;
98;26/05/2014;5;2014; R$ 27,88 ; R$ 68,93 ;
99;27/05/2014;5;2014; R$ 27,88 ; R$ 68,58 ;
100;28/05/2014;5;2014; R$ 28,03 ; R$ 68,69 ;
101;29/05/2014;5;2014; R$ 27,74 ; R$ 68,51 ;
102;30/05/2014;5;2014; R$ 27,71 ; R$ 68,48 ;
103;02/06/2014;6;2014; R$ 27,78 ; R$ 69,05 ;
104;03/06/2014;6;2014; R$ 27,71 ; R$ 68,95 ;
105;04/06/2014;6;2014; R$ 27,33 ; R$ 69,30 ;
106;05/06/2014;6;2014; R$ 27,28 ; R$ 69,02 ;
107;06/06/2014;6;2014; R$ 27,11 ; R$ 68,31 ;
108;09/06/2014;6;2014; R$ 27,03 ; R$ 67,38 ;
109;10/06/2014;6;2014; R$ 26,87 ; R$ 67,69 ;
110;11/06/2014;6;2014; R$ 26,67 ; R$ 67,59 ;
111;12/06/2014;6;2014; R$ 26,66 ; R$ 67,52 ;
112;13/06/2014;6;2014; R$ 26,42 ; R$ 66,84 ;
113;16/06/2014;6;2014; R$ 26,24 ; R$ 66,82 ;
