Athlete;Analysed attempt;Official distance (m);Effective distance (m);Take-off loss (m) ;Athlete Horizontal velocity at TO (m/s);Vertical velocity at TO (m/s);Change in horizontal velocity (TD – TO) (m/s);Resultant velocity at TO (m/s);TO angle (°) 
;;;;;;;;;
ECHEVARRIA;5;8,46;8,487;0,027;8.61; 4.20;-1,41;9.58;26.0
MANYONGA;4;8,44;8,442;0,002;8.93;3.83;-1,39;9.72;23.2 
DENDY;6;8,18;8,190;0,010;9.11;3.45;-1,32;9.74;20.8 
LAWSON;5;8,14;8,233;0,093;9.12;3.22;-1,05;9.67;19.4 
SHI;5;8,12;8,211;0,091;8.64;3.83;-1,56;9.45;23.9 
SAMAAI;3;8,05;8,202;0,152;8.95;3.49;-1,34;9.61;21.3 
JUSKA;1;7,99;8,050;0,060;8.36;3.63;-1,78; 9.11;23.5 
CACERES;1;7,91;7,947;0,037;9.18;3.47;-0,96;9.81;20.7 
TENTOGLOU;3;7,82;8,026;0,206;8.51;3.37;-1,72;9.15;21.6 
HUANG;2;7,75;7,910;0,160;8.93;3.68;-0,96;9.66;22.1 
SMITH;1;7,75;7,804;0,054;8.50;3.79;-1,53;9.31;24.0 
LASA;1;7,72;7,765;0,045;8.10;3.81;-1,83;8.95;25.2 
MASSO;1;7,70;7,789;0,079;8.44;3.76;-1,44;9.24;24.0 
MOKOENA;1;7,53;7,597;0,067;8.23;3.47;-1,62;8.93;22.9 
FORBES;3;7,21;7,541;0,331;8.43;3.39;-1,25;9.09;21.9
